,0,1,2,3
0,Down,Da Crook,Hip-Hop,"{'lyrics': ""Baby, are you down, down, down, down, down?\nDown, down\nEven if the sky is falling down\nDown, down (ooh, ooh)\n\nYou oughta know\nTonight is the night to let it go\nPut on a show\nI wanna see how you lose control\n\nSo leave it behind 'cause we have a night to get away\nSo come on, and fly with me as we make our great escape\n\nSo baby, don't worry, you are my only\nYou won't be lonely even if the sky is falling down\nYou'll be my only, no need to worry\nBaby, are you down, down, down, down, down?\n\nDown, down\nBaby, are you down, down, down, down, down?\nDown, down\nEven if the sky is falling down\n\nJust let it be\nCome on, and bring your body next to me\nI'll take you away, ayy\nTurn this place into our private get-away\n\nSo leave it behind 'cause we have a night to get away\nSo come on, and fly with me as we make our great escape\nSo why don't we run away?\n\nBaby, don't worry, you are my only (oh)\nYou won't be lonely (no) even if the sky is falling down\nYou'll be my only (yeah), no need to worry (no)\nBaby, are you down, down, down, down, down?\n\nDown, down\nBaby, are you down, down, down, down, down?\nDown, down (ooh, down)\nEven if the sky is falling down\n\nDown like she 'posed to be, she gets down low for me\nDown like her temperature, 'cause to me, she zero degrees\nShe cold, over freeze, I got that girl from overseas\nNow, she's my Miss America, now, can I be her soldier, please?\nI'm fighting for this girl on a battlefield of love\nDon't it look like baby Cupid sent her arrows from above?\nDon't you ever leave the side of me, indefinitely, not probably\nAnd honestly, I'm down like the economy, hey\n\nBaby, don't worry, you are my only\nYou won't be lonely even if the sky is falling down\nYou'll be my only, no need to worry\nBaby, are you down, down, down, down, down? (And the sky is falling down)\n\nDown (down), down\nBaby, are you down, down, down, down, down? (Ooh)\nDown, down (no, and the sky is falling down)\nEven if the sky is falling down\n\nOoh, no, and the sky is falling down"", 'source': 'Source: Musixmatch'}"
1,MELTDOWN (feat. Drake),Travis Scott,Hip-Hop,"{'lyrics': 'Yeah, tensions is definitely risin\'\nT\'d up right now\nT time, T time\nT time, T time, T time\n\nTeatime like I got a cup of this shit\nTee time like golf at a quarter to six\nI love to fuck on a regular bitch\nFamous hoes lame, but they stay on my dick\n\nHeard your new joint, it\'s embarrassin\', shit\nYou talk to the cops on some therapist shit\nYou act like you love this American shit\nBut, really, the truth is you scared of the six\nYeah, you scared of the six, yeah, you scared of the six\n\nYour bodyguard put in some work on a fluke\nNow you wanna go and inherit that shit\nDon\'t talk to the boy \'bout comparisons, shit\nOr come to the boy on some arrogant shit\n\nThe weapons we got are some terrorist shit\nLike TV producers we, grr, we airin\' this shit\nShe askin\' for bread for her parents and shit\nI told her, ""I don\'t got no cash"" and she said she could wait on a rack, on some Arabic shit\n\nI pull out a million and stare at the shit\nMy dick just got hard \'cause a wire just hit\nMy schedule is out, come spin us, for real\nMan, fuck all that spinnin\' the narrative shit\n\nI melt down the chains that I bought from yo\' boss\nGive a fuck about all of that heritage shit\nSince V not around, the members done hung up the Louis, they not even wearin\' that shit\nDon\'t come to the boy \'bout repairin\' some shit\nDon\'t come to the boy \'bout sparin\' some shit\nYou lucky that Vogue was suin\' \'cause I woulda been with the Wassas in Paris and shit\n\nIs you fuckin\' crazy? Uh, is you fuckin\' crazy? (Ah)\nAnd they scared of the seven (seven)\nAfter one-three, then we turn up 11 (yeah)\nKeep this shit open like 7-Eleven (it\'s lit)\n\nMe at the house, I got seven in heaven\nThey think I\'m satanic, I keep me a reverend\nShawty a therapist (yeah), poppin\' her shit\nShe inchin\' my way then she started confessin\'\n\nI know what\'s at stake, I\'m screamin\', ""Free Jeffrey""\nConnect collect calls right off of the celly\nGave her the blues, not talkin\' \'bout belly\nDon\'t keep it sincere, I go Makaveli\n\nI got the juice, now it\'s heavy (juice)\nAlways on t-time, been ready (T, ah), yeah\nIs you fuckin\' crazy? Uh, is you f- (yeah, stoned, let\'s go)\nWrappin\' the cheese, wrap around me \'cause I\'ve got property (wrap, cheese, wrap)\nChocolate AP and chocolate the Vs (Vs), got the Willy Wonka factory (Vs)\nBurn an athlete like it\'s calories (frrt), find another flame hot as me, bitch (ooh)\n\nYeah, is you fuckin\' crazy? (Nah) is you fuckin\' crazy? (What?)\nIs you fuckin\' crazy? (Nah, nah) is you fuckin\' crazy? Yeah\nIs you fuckin\' crazy, or what? Is you fuckin\', is you fuckin\'\nIs you fuckin\' crazy?\n\nHow many Texas boys done ran it up? A couple, maybe (couple, maybe)\nSwangin\' in the pickup truck, baby, fuck Mercedes (fuck Mercedes)\nI\'ll fuck a nigga bitch, but she can\'t have the baby (have the baby)\nI\'ll shoot your ass in Walmart like I\'m DaBaby (in Walmart)\n\nThe boy goin\' Lionel Messi, I go Tom Brady (woo)\nUsed to wear the bust down back in my old days (wow)\nNow I let the chains hang, you gotta tuck yours, maybe (tuck it, tuck it)\nNiggas talkin\' Scarface, I\'m that in real life\n\nIs you fuckin\' crazy, or what? Is you fuckin\' crazy? (Fuckin\' crazy)\nMan, the club ain\'t been the same since we lost Mercedes (straight up)\nMan, the clique ain\'t been the same since they lost the greatest (nah, nah, nah)\nWe outside with the army, so you need the (uh-huh)\n\nThem boys rollin\' all brown like they whippin\' gravy\nMake a circus outside like it\'s Barnum\'s Bailey (it\'s lit)\nBlickey hangin\' on my side, it\'s like it\'s really hangin\' (blickey, blickey, blaow)\nShe move her panties to the side, she want it raw when faded (huh, huh, huh, huh?)\n\nIs you fuckin\' crazy? Is you fuckin\' crazy? Uh\nIs you fuckin\' crazy, or what? Is you fuckin\' crazy? Yeah\nIs you fuckin\' crazy, or what? Is you fuckin\', is you fuckin\'\nIs you fuckin\' crazy?', 'source': 'Source: Musixmatch'}"
2,please.,Eva Shaw,Hip-Hop,"{'lyrics': ""Uh, uh, yeah, come on\r\n\r\nPlease me, baby\r\nTurn around and just tease me, baby\r\nYou got what I want and what I need, baby\r\n(Let me hear you say)\r\nPlease\r\n(Let me hear you say)\r\nPlease\r\nPlease me, baby\r\nTurn around and just tease me, baby\r\nYou got what I want and what I need, baby\r\n(Let me hear you say)\r\nPlease\r\n(Let me hear you say)\r\nPlease (woo)\r\n\r\nLollipoppin' (poppin'), twerkin' in some J's (ooh)\r\nOn the dance floor (uh-huh), no panties in the way (nope)\r\nI take my time with it (ow), bring you close to me (ow)\r\nDon't want no young dumb shit\r\nBetter fuck me like we listenin' to Jodeci\r\nI was tryna lay low (low), takin' it slow (slow)\r\nWhen I'm fuckin' again (ayy)\r\nGotta celebrate, if you're man look good, better put him away\r\nIf you can't sweat the weave out, you shouldn't even be out\r\nDinner reservations like the pussy, you gon' eat out\r\n\r\nI'm gonna ride it, do it just how you like it\r\nTonight and after that\r\nLet's do it one more time\r\nGirl, I ain't one for beggin', but now you got me beggin'\r\n\r\nPlease me, baby\r\nTurn around and just tease me, baby\r\nYou got what I want and what I need, baby\r\n(Let me hear you say)\r\nPlease\r\n(Let me hear you say)\r\nPlease (woo)\r\nPlease me, baby\r\nTurn around and just tease me, baby\r\nYou got what I want and what I need, baby\r\n(Let me hear you say)\r\nPlease\r\n(Let me hear you say)\r\nPlease (woo)\r\n\r\nBooty so round (round), booty so soft (soft)\r\nBet you wanna smack it again (ayy)\r\nLet me demonstrate\r\nHit it one time, make it levitate\r\nTitties out like blaka (blaka)\r\nBroke bitches watch out now (watch out)\r\nYour pussy basura (basura)\r\nMy pussy horchata (oh)\r\n\r\nI'm gonna ride it, do it just how you like it\r\nTonight and after that (ooh)\r\nLet's do it one more time\r\nGirl, I ain't one for beggin', but now you got me beggin'\r\n\r\nPlease me, baby\r\nTurn around and just tease me, baby\r\nYou got what I want and what I need, baby\r\n(Let me hear you say)\r\nPlease\r\n(Let me hear you say)\r\nPlease (woo)\r\n\r\nCome on\r\nCome on, back it up for me\r\nCome on\r\nOoh, twerk it on me slowly\r\nCome on\r\nGirl, let me put this lovin' on you\r\nYou better say that shit (uh)\r\nCardi don't play that shit (yeah)\r\nDo my back like I do these records, break that shit\r\n\r\nPlease me, baby (uh)\r\nTurn around and just tease me, baby (uh, ooh)\r\nYou got what I want and need, baby (yes)\r\n(Let me hear you say)\r\nPlease\r\n(Let me hear you say)\r\nPlease (woo)\r\nPlease me, baby\r\nTurn around and tease me, baby\r\nYou got what I want and need, baby\r\n(Let me hear you say)\r\nPlease\r\n(Let me hear you say)\r\nPlease (woo)"", 'source': 'Source: LyricFind'}"
3,410,Sidhu Moose Wala,Hip-Hop,"{'lyrics': ""Its offgrid\nIts 4:10, I'm on the 410\nMe&my dawg just made a fortune\nThis time i want all, not the portion\nIts 4:10, I'm on the 410\n\nWelcome to the Region of Peel\nIt's getting scary\nI been on road for the cheese\nI love dairy\nI been screaming fuck the opps\nI know they hear me\nI been grippin on my steel\nFuck if they fear me\nDon't die playing superman\nYou ain't Clark Kent\nMotherfuckers thought I died\nBut I ain't start yet\nWhere I'm from\nIt's no face no case\nYou can get your top lit up\nLike you sitting in a Wraith\n\nI'm nasty, got hits like that homie\nFrom Degrassi My homies in the front\nWith two bitches in the backseat\n\nPaparazzi harass me\nShit getting flashy\nAll my homies down to ride\nJust like a taxi\nMalton da munda\nBrampton ch gunda\nOn the 410 gaddiya\nDe vich hunda\nBumping 2pac gallan\nLok'aan di nah suna\nI don't listen to you peasants Man\nI do what I wanna\n\nJatt kaim aa\nSadda time aa!\nVairi rehnda satho dekh\nSeham seham aa\nDekh aukha saddi\nGallan nu hai sehna\nFaida chakk bhajje\nNaam ni main lena\nLook at me now\nHun oh dekh Sippin champagne\nLike I know Drake!\nTension ni lende par krde aa chill\nBrampton aake dekhli rkhde\nNi dhill\n\nIts 4:10, I'm on the 410\nMe&my dawg just made a fortune\nThis time i want all, not the portion\nIts 4:10, I'm on the 410\n\nIts 4:10, I'm on the 410\n(Yeahh)\nMe&my dawg just made a fortune\n(Sidhu moose wala)\nThis time i want all, not the portion\n(Aye aye)\nIts 4:10, I'm on the 410\n(Woo-woo)\n\n410, b-twon, hauli-hauli gaddi jave\nChobar plaze vich gede kddi jave\nRing-ring-ring utton phone vajji jave\nPhone 'te Toronto ikk naddi saddi jave\n\nLaal-laal akh'aan aala gehra hoyi janda\nJive-jive ambr'aan te hnehra hoyi janda\nChobar di kalli-kalli budak di naad\nLoka bhaa de hun ta savera hoyi janda\n\nDiggi ch dracco aa te dhaun vich killa\nBrampton bigde hoye jatta da ya tilla!\nKaale sheeshe bass nal hunde vibrate\nKaali-kaali gadi vich vjje 'Ankhila'\n\nKill-kill-kill, ehe aa killer'aa da time\nReal hustle baby, eh ni feelr'aan da\nTime\nDope bann-bann ke n sadk'aan te\nGhumm\nIt's '4:10' baby, eh aa dealer'aan da time\n\nStop sign te v gaddi hundi nhi stop\nLicense plate dekh lukdeyaa opp\nPull-over karne de chakkr'aa ch poore\nJatt nal bhaley obsessed ne cop\n\nBhalde aa saale meri gaddi cho crack\nSteeles Mclaughlin ton krde track\nEhna de te mere bass vision ch gap\nMain easy money kehnde\nTe eh kehnde aa black\n\nIts 4:10, I'm on the 410\nMe&my dawg just made a fortune\nThis time i want all, not the portion\nIts 4:10, I'm on the 410\nIts 4:10, I'm on the 410\n(Ha-ha)\nMe&my dawg just made a fortune\n(Made a fortune)\nThis time i want all, not the portion\n(I want it all)\nIts 4:10, I'm on the 410\n(Yeahh)\n\nSIDHU MOOSE WALA!\nSUNNY MALTON!\nJ tenu pehl'on ni c pta\nMai v dil da ni mada\nAAUN DE JATTA!\nYou know what i mean!\nRest in peace to the motherfukin'\nGOAT baby\nHAHA\n\nAJB"", 'source': 'Source: Musixmatch'}"
4,Get Back Up (feat. Fridayy),Pressa,Hip-Hop,"{'lyrics': ""If you ever fall down, I would pick you back up\nAnd if I'm never not around, you know where to find me\nOoh-ooh, if you ever fall down, I would pick you back up, mm, back up\n\nYeah\nI had to cut a ounce in pieces, I was onto somethin' (yeah)\nI flip a brick a couple times to really see a profit\nI fell in love with all my chains, but more in love with watches (for real)\nI take control of my life, then put it on autopilot\nThere's times I manifested things and also prayed for it (prayed)\nI knew eventually come, I had to wait for it (to wait)\nPlay with our life and risk it all, we had to roll for it (to roll for it)\nSee, I'm a Taurus with a Glock, but I don't do Taurus (never)\n\nI bulletproof the truck, now I'm invincible (I'm invincible)\nI can't shit on 'em when I'm up, that's just principle (never)\nAnd if my back agains the wall, I let my pistol blow\nHe said that he could handle smoke, I bet his system won't (blaow)\nThey say you learn more when you read, but I'm more visual\nAnd where I'm from, they tie you up, call it collateral (call it collateral)\nYou see my block is like a zoo, it's full of animal\nHe ain't kill nobody, but the feds hold him accountable (oh-oh)\n\nIf you ever fall down (if I), I would pick you back up (I gotta get back up)\nAnd if I'm never not around (oh), you know where to find me\n\nOh\nThis brand-new Glock I just bought, look like a art show\nBro on the run, they look for him just like a fossil (oh)\nI bulletproof the Escalade, this ain't a Tahoe\nWe lost the murder case, the lawyer gave his all though\nI got some Malis, they grew up without a Aabo\nThey paintin' pictures in the hood, just like Picasso\nI knew that money and respect would make me powerful\nAnd that .44 long nose make me a cowboy\n\nShe take a look at the kid, she say I'm edible\nFell in love with money and cars, jewelry, etcetera\nThe feds start indictin' the gang, we goin' federal\nI get so much love in the hood, they think I'm general\nAll about my green like, baby, I need my celery\nPut the youngins in the trap and call it Wassa Academy (whoa)\nThey know I work the block for too long, I need a salary\nLove my niggas with all of my heart, treat them like family (fam)\n\nIf you ever fall down (if I), I would pick you back up (I gotta get back up)\nAnd if I'm never not around (oh), you know where to find me\nOoh-ooh, if you ever fall down, I would pick you back up, mm, back up"", 'source': 'Source: Musixmatch'}"
5,First Person Shooter (feat. J. Cole),Drake,Hip-Hop,"{'lyrics': '(Pew, pew-pew)\r\nFirst person shooter mode, we turnin\' your song to a funeral\r\nTo them niggas that say they wan\' off us\r\nYou better be talkin\' \'bout workin\' in cubicles\r\nYeah, them boys had it locked, but I knew the code\r\nLot of niggas debatin\' my numeral\r\nNot the three, not the two, I\'m the U-N-O\r\nYeah\r\nNumero U-N-O\r\nMe and Drizzy, this shit like the Super Bowl\r\nMan, this shit damn near big as the-\r\n\r\nBig as the what?\r\nBig as the what?\r\nBig as the what? Ayy\r\n\r\nBig as the Super Bowl, but the difference is\r\nIt\'s just two guys playin\' shit that they did in the studio\r\nNiggas usually send they verses back to me\r\nAnd they be terrible, just like a two-year old\r\nI love a dinner with some fine women\r\nWhen they start debatin\' about who the G.O.A.T\r\nI\'m like, ""Go on \'head, say it then, who the G.O.A.T?\r\nWho the G.O.A.T.? Who the G.O.A.T.? Who the G.O.A.T?""\r\nWho you bitches really rootin\' for?\r\nLike a kid that act bad from January to November\r\nNigga, it\'s just you and Cole\r\n\r\nBig as the what?\r\nBig as the what?\r\nBig as the what? Ayy\r\nBig as the Super Bowl\r\n\r\nNiggas so thirsty to put me in beef\r\nDissectin\' my words and start lookin\' too deep\r\nI look at the tweets and start suckin\' my teeth\r\nI\'m lettin\' it rock \'cause I love the mystique\r\nI still wanna get me a song with YB\r\nCan\'t trust everything that you saw on IG\r\nJust know if I diss you, I\'d make sure you know that I hit you\r\nLike I\'m on your caller ID\r\nI\'m namin\' the album The Fall Off\r\nIt\'s pretty ironic \'cause it ain\'t no fall off from me\r\nStill in this bitch gettin\' bigger\r\nThey waitin\' on the kid to come drop like a father to be\r\nLove when they argue the hardest MC\r\nIs it K-Dot, is it Aubrey or me?\r\nWe the big three like we started a league\r\nBut right now, I feel like Muhammed Ali\r\nHuh, yeah, whoa, huh, huh\r\nYeah, Muhammed Ali\r\nThe one that they call when they shit ain\'t connectin\' no more\r\nFeel like I got a job in IT\r\nRhymin\' with me is the biggest mistake\r\nThe Spider-Man meme is me lookin\' at Drake\r\nIt\'s like we recruited your homies to beat demon deacons\r\nWe got \'em attending your wake\r\nHate how the gang got away from the bars, man, this shit like a prison escape\r\nEverybody steppers, well, fuck it\r\nThen everybody breakfast and I\'m \'bout to clear up my plate\r\n(Huh, huh, huh)\r\nWhen I show up, it\'s motion picture, Blockbuster\r\nThe G.O.A.T with the golden pen, the top toucher\r\nThe spot rusher, sprayed his whole shit up, the crop duster\r\nNot Russia, but apply pressure\r\nTo your cranium, Cole\'s automatic when aiming \'em\r\nWith The Boy in the status, a stadium\r\nNigga\r\n\r\nAyy\r\nI\'m \'bout to, I\'m \'bout to\r\nI\'m \'bout to, yeah\r\nYeah\r\n\r\nI\'m \'bout to click out on this shit\r\nI\'m \'bout to click, whoa\r\nI\'m \'bout to click out on this shit\r\nI\'m \'bout to click, whoa\r\nI\'m down to click out on you hoes and make a crime scene\r\nI click the trigger on the stick like a high beam\r\nMan, I was Bentley wheel whippin\' when I was nineteen\r\nShe call my number, leave her hangin\', she got dry-cleaned\r\nShe got a Android, her messages is lime green\r\nI search one name, and end up seein\' twenty tings\r\nNadine, Christine, Justine\r\nKathleen, Charlene, Pauline, Claudine\r\nMan, I pack \'em in this phone like some sardines\r\nAnd they send me naked pictures, it\'s the small things\r\nYou niggas is still takin\' pictures on a Gulfstream\r\nMy youngins richer than you rappers and they all stream\r\nI really hate that you been sellin\' them some false dreams\r\nMan, if your pub was up for sale, I\'d buy the whole thing\r\nWill they ever give me flowers? Well, of course not\r\nThey don\'t wanna have that talk, \'cause it\'s a sore spot\r\nThey know The Boy the one they gotta boycott\r\nI told Jimmy Jam I use a Grammy as a doorstop\r\nGirl gave me some head because I need it\r\nAnd if I fuck with you, then after I might eat it, what?\r\nNiggas talkin\' \'bout, ""When this gon\' be repeated?""\r\nWhat the fuck, bro? I\'m one away from Michael\r\nNigga, beat it, nigga, beat it, what?\r\n\r\nBeat it, what? Beat it, what? Beat it, what? Beat it, what?\r\nBeat it, what? Beat it, what? Beat it, what? Beat it, what?\r\nBeat it, what? Beat it, what? Beat it, ayy, beat it, what?\r\nDon\'t even pay me back on none them favors, I don\'t need it', 'source': 'Source: LyricFind'}"
6,From The,Kris the $pirit,Hip-Hop,"{'lyrics': 'Don\'t you notice how\nI get quiet when there\'s no one else around?\nMe and you and awkward silence\nDon\'t you dare look at me that way\nI don\'t need reminders of how you don\'t feel the same\n\nOh, the burning pain\nListening to you harp on \'bout some new soulmate\n""She\'s so perfect,"" blah, blah, blah\nOh, how I wish you\'ll wake up one day\nRun to me, confess your love, at least just let me say\n\nThat when I talk to you oh, Cupid walks right through\nAnd shoots an arrow through my heart\nAnd I sound like a loon, but don\'t you feel it too?\nConfess I loved you from the start\n\nWhat\'s a girl to do?\nLying on my bed, staring into the bluе\nUnrequited, terrifying\nLovе is driving me a bit insane\nHave to get this off my chest\nI\'m telling you today\n\nThat when I talk to you, oh, Cupid walks right through\nAnd shoots an arrow through my heart\nAnd I sound like a loon, but don\'t you feel it too?\nConfess I loved you from the start\n\nConfess I loved you\nJust thinking of you\nI know I\'ve loved you from the start', 'source': 'Source: Musixmatch'}"
7,Village,Ys Dz,Hip-Hop,"{'lyrics': 'No, your mom don\'t get it\nAnd your dad don\'t get it\nUncle John don\'t get it\n\nAnd you can\'t tell grandma\n\'Cause her heart can\'t take it\nAnd she might not make it\n\nThey say, ""Don\'t dare, don\'t you even go there""\n""Cutting off your long hair""\n""You do as you\'re told""\nTell you, ""Wake up, go put on your makeup""\n""This is just a phase you\'re gonna outgrow""\n\nThere\'s something wrong in the village\nIn the village, oh\nThey stare in the village\nIn the village, oh\n\nThere\'s nothing wrong with you\nIt\'s true, it\'s true\nThere\'s something wrong with the village\nWith the village\nThere\'s something wrong with the village\n\nFeel the rumors follow you\nFrom Monday all the way to Friday dinner\nYou got one day of shelter\nThen it\'s Sunday hell to pay, you young lost sinner\n\nWell, I\'ve been there, sitting in that same chair\nWhispering that same prayer half a million times\nIt\'s a lie, though buried in disciples\nOne page of the Bible isn\'t worth a life\n\nThere\'s something wrong in the village\nIn the village, oh\nThey stare in the village\nIn the village, oh\n\nThere\'s nothing wrong with you\nIt\'s true, it\'s true\nThere\'s something wrong with the village\nWith the village\nSomething wrong with the village\n\nThere\'s something wrong in the village\nIn the village, oh\nThey stare in the village\nIn the village, oh\n\nThere\'s nothing wrong with you\nIt\'s true, it\'s true\nThere\'s something wrong with the village\nWith the village\nSomething wrong with the village', 'source': 'Source: Musixmatch'}"
8,Crippled,HoodbabyGG,Hip-Hop,"{'lyrics': ""I hear a million voices\r\nThere screaming through my head\r\nMessages of death that I could understand\r\nThey reek intimidation, they reek retribution\r\nThe time has come for you to defy your enemy\r\n\r\nI saw you coming from miles away\r\nOne by one, I saw you fade away\r\nThere's no chance in one man's fear\r\nThe damage's done your strength's undone\r\n\r\nCrippled and broken\r\nThere's no one left to die\r\nCrippled and broken\r\n\r\nWorthless to test this power\r\nAnd feel the wrath of fire\r\nSenseless these acts of vengeance\r\nWill tear into your soul\r\nRage of inner strength, to eat you from the inside\r\nAnd cripple you, into infinity\r\nYou reap what you sowed \r\nYou reap what you sowed for nothing\r\nYou reap what you sowed for war\r\nYou reap what you sowed!\r\n\r\nI hear a million voices\r\nThere screaming through my head\r\nMessages of death that I could understand\r\nThey reek intimidation, they reek retribution\r\nThe time has come for you to defy your enemy\r\n\r\nI saw you coming from miles away\r\nOne by one, I saw you fade away\r\nThere's no chance in one man's fear\r\nThe damage's done your strength's undone\r\n\r\nCrippled and broken\r\nThere's no one left to die\r\nCrippled and broken"", 'source': 'Source: LyricFind'}"
9,FORKS ON THE ROAD,Raz Fresco,Hip-Hop,"{'lyrics': 'I\'m thinkin\' \'bout my mom, will I go the same way?\nLost a 50 pack and got raided on the same day\nNightmares, I just try and smoke the pain away\nDropped my daughter off, now I\'m loaded tryna\' make a play\nI\'m thinkin\' \'bout the money, got me stressin\', I ain\'t trippin\' though\nLow key, on my burner phone tryna\' get it sold\nWith all this hate around me, I don\'t even understand\nHow another man can worry \'bout another man\nYou out buyin\' belts and shit, I\'m buyin\' rubber bands\nI\'m tryna\' turn this dirty money to 100Ms\nAnd I don\'t even bust a move if it\'s under 10\nI\'m paranoid, I can never trust again\nTrust me, real life, this shit been ugly\nI remember bein\' broke with nobody to front me\nIf I take all 10, what kinda deal can you cut me?\nThey used to laugh, they thought it was funny\nTables turned, now the Bern shit is worldwide\nI\'m in Spain sellin\' seeds of the Cherry Pie\n30 mil for a brandin\' deal, shit is nice\nYou only get one shot, I\'ma live it twice\nI\'m on the tables out in Vegas, yellin\' at the dice\nThe same ones that used to laugh, want a better price\nThe road been a lil funny, I\'ma let \'em fly\nAnd if I die young, I swear to God at least I did it right\n\nYou know all this shit I seen, it got my heart so cold\nLettin\' go of my mother\'s hands, they were so cold\nSo cold, so cold, so cold, yeah\nSo cold, so cold, so cold, yeah\nMore forks in the road\nI just hope I go quick when it\'s my time to go\n\nLife is crazy, rollin\' up this Y, it\'s so tastey\nTook a pill, yeah, that\'s why I\'m lazy\nI used to get the pie straight outta AZ\nMy cousin called me, he said, ""Bern, dog, pay me""\nI was doin\' bad, I can\'t even front\nGlock in the stash box, 2 bricks in the trunk\nThe Henny got me drunk, I\'m smokin\' Lemon Skunk\nWith a little pretty bitch, come on baby, let me fuck\nMy own homeboy even try and set me up\nHe got himself shot in the ass, homie, step it up\nYeah, I come from real dope game money\n\'Cause rap shit\'s cool but the dope game love me\nYeah, rest in peace to the J.A\nI\'m smokin\' joints to the neck, drinkin\' Tanqueray\nYeah, ridin\' crazy on the Golden Gate Bridge\nAnd when it\'s my time to go, look after my kids\nYeah\n\nYou know all this shit I seen, it got my heart so cold\nLettin\' go of my mother\'s hands, they were so cold\nSo cold, so cold, so cold, yeah\nSo cold, so cold, so cold, yeah\nMore forks in the road\nI just hope I go quick when it\'s my time to go', 'source': 'Source: Musixmatch'}"
